Module                  Size  Used by
usbhid                 77824  0
wireguard             114688  0
curve25519_x86_64      36864  1 wireguard
libchacha20poly1305    16384  1 wireguard
chacha_x86_64          32768  1 libchacha20poly1305
poly1305_x86_64        28672  1 libchacha20poly1305
libcurve25519_generic    49152  2 curve25519_x86_64,wireguard
libchacha              12288  1 chacha_x86_64
ip6_udp_tunnel         16384  1 wireguard
udp_tunnel             32768  1 wireguard
ipt_REJECT             12288  0
nf_reject_ipv4         12288  1 ipt_REJECT
nfnetlink_queue        28672  1
nft_queue              12288  4
nft_ct                 24576  1
xt_statistic           12288  3
xt_mark                12288  4
xt_nfacct              12288  2
nfnetlink_acct         16384  3 xt_nfacct
xt_comment             12288  65
xt_nat                 12288  12
xt_tcpudp              16384  7
veth                   45056  0
xt_conntrack           12288  24
nft_chain_nat          12288  13
xt_MASQUERADE          16384  9
nf_nat                 61440  3 xt_nat,nft_chain_nat,xt_MASQUERADE
bridge                421888  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
nf_conntrack_netlink    57344  0
nf_conntrack          196608  6 xt_conntrack,nf_nat,nft_ct,xt_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
xt_addrtype            12288  7
nft_compat             20480  133
nf_tables             372736  604 nft_queue,nft_ct,nft_compat,nft_chain_nat
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
ccm                    20480  9
rfcomm                 98304  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
overlay               212992  19
cmac                   12288  3
algif_hash             12288  1
snd_ctl_led            24576  0
algif_skcipher         16384  1
snd_soc_skl_hda_dsp    24576  4
af_alg                 32768  6 algif_hash,algif_skcipher
snd_soc_hdac_hdmi      45056  1 snd_soc_skl_hda_dsp
snd_sof_probes         20480  0
snd_soc_intel_hda_dsp_common    16384  1 snd_soc_skl_hda_dsp
xe                   2711552  0
drm_gpuvm              45056  1 xe
drm_exec               12288  2 drm_gpuvm,xe
gpu_sched              61440  1 xe
snd_hda_codec_hdmi     94208  1
drm_suballoc_helper    16384  1 xe
drm_ttm_helper         12288  1 xe
snd_hda_codec_conexant    32768  1
snd_hda_codec_generic   122880  1 snd_hda_codec_conexant
snd_soc_dmic           12288  1
qrtr                   53248  2
bnep                   32768  2
binfmt_misc            24576  1
nls_iso8859_1          12288  1
intel_uncore_frequency    16384  0
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
coretemp               24576  0
kvm_intel             487424  0
kvm                  1404928  1 kvm_intel
irqbypass              12288  1 kvm
crct10dif_pclmul       12288  1
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
cmdlinepart            12288  0
aesni_intel           356352  10
crypto_simd            16384  1 aesni_intel
spi_nor               163840  0
mei_pxp                16384  0
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
mei_hdcp               28672  0
mtd                    98304  3 spi_nor,cmdlinepart
intel_rapl_msr         20480  0
rapl                   20480  0
intel_cstate           24576  0
huawei_wmi             20480  0
ledtrig_audio          12288  2 snd_ctl_led,huawei_wmi
sparse_keymap          12288  1 huawei_wmi
