USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23736 14580 ?        Ss   10:19   0:16 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    10:19   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    10:19   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    10:19   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    10:19   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    10:19   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    10:19   0:01 [ksoftirqd/0]
root          17  0.2  0.0      0     0 ?        I    10:19   1:30 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    10:19   0:07 [migration/0]
root          19  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    10:19   0:04 [migration/2]
root          24  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    10:19   0:05 [migration/4]
root          30  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    10:19   0:03 [migration/6]
root          36  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    10:19   0:11 [migration/8]
root          42  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/9]
root          46  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/9]
root          47  0.0  0.0      0     0 ?        S    10:19   0:07 [migration/9]
root          48  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/9]
root          50  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/9:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/10]
root          52  0.0  0.0      0     0 ?        S    10:19   0:00 [idle_inject/10]
root          53  0.0  0.0      0     0 ?        S    10:19   0:05 [migration/10]
root          54  0.0  0.0      0     0 ?        S    10:19   0:00 [ksoftirqd/10]
root          56  0.0  0.0      0     0 ?        I<   10:19   0:00 [kworker/10:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    10:19   0:00 [cpuhp/11]
